n_side,h,n_plaquettes,rms_curvature_error,max_abs_curvature_error,rms_angle_error,max_abs_angle_error,max_her_reconstruction_error
8,0.14285714285714285,49,0.03399228706390903,0.06613954805913691,0.0006937201441614085,0.0013497866950844266,5.551223542284261e-16
12,0.09090909090909091,121,0.013848239117799867,0.027109533689938292,0.00011444825717189971,0.00022404573297469667,6.661479318412932e-16
16,0.06666666666666667,225,0.007461329480044699,0.014634425183845945,3.3161464355754216e-05,6.504188970598197e-05,5.551121899385225e-16
24,0.043478260869565216,529,0.003177536043725178,0.006240308036477238,6.006684392675193e-06,1.1796423509408768e-05,6.661345902564668e-16
32,0.03225806451612903,961,0.001749866418309178,0.003437996495049056,1.8208807682717772e-06,3.5775197659199333e-06,6.661388969533905e-16
48,0.02127659574468085,2209,0.0007614801111017842,0.0014965356560132648,3.447171168410069e-07,6.77472003627553e-07,6.661339559472369e-16
