n_side,h,n_plaquettes,rms_vector_curvature_error,max_vector_curvature_error,rms_norm_curvature_error,max_norm_curvature_error,max_her_reconstruction_error,max_plaquette_log_norm
6,0.2,25,0.0045252789880645275,0.008096243609415552,3.791138474545815e-05,8.226946100603483e-05,6.281256956015762e-16,0.008783906032151364
8,0.14285714285714285,49,0.0033216732490428395,0.006167249472112656,1.9469462553244774e-05,4.5330126703935214e-05,5.551527189360525e-16,0.0044878552746630265
10,0.1111111111111111,81,0.0026213511609508933,0.004966002271274332,1.1809581295593251e-05,2.86007665597221e-05,7.109005918425421e-16,0.002715428819192013
12,0.09090909090909091,121,0.002164205523237031,0.004152073293163676,7.916367035426678e-06,1.9660580095837155e-05,7.850583653253701e-16,0.0018197991330516923
16,0.06666666666666667,225,0.0016040397026316575,0.003123716911862849,4.262677371110277e-06,1.0911785183392864e-05,8.671120226691469e-16,0.0009793842426523373
20,0.05263157894736842,361,0.001274029710953943,0.0025023290946626334,2.658277967477325e-06,6.925220659981246e-06,9.550511366925593e-16,0.0006116694833814648
24,0.043478260869565216,529,0.0010565765487815684,0.0020867181254011417,1.8145935855383567e-06,4.781728058594892e-06,8.950916729718654e-16,0.0004179800802100098
