case,n_sites,n_triangles_ordered,max_chord_error,mean_chord_error,max_angle_error_rad,mean_angle_error_rad
pure_gauge,12,1320,2.7755575615628914e-16,7.039108766149294e-17,2.220446049250313e-16,4.697420903432954e-17
pure_gauge_after_local_gauge_transform,12,1320,4.965068306494546e-16,1.5582142753020085e-16,3.3306690738754696e-16,7.871176353799613e-17
perturbed_sparse_links,12,1320,0.8196561130342617,0.09488284944924293,0.8445311066599597,0.09676919748081655
perturbed_after_local_gauge_transform,12,1320,0.8196561130342618,0.094882849449243,0.8445311066599598,0.09676919748081657
,,,,,,
gauge_invariance_error_pure,,,5.757191532588118e-16,,,
gauge_invariance_error_perturbed,,,5.757191532588118e-16,,,
