case,n_plaquettes,max_plaquette_angle,mean_plaquette_angle,max_triangle_factorization_error,max_her_reconstruction_error,gauge_or_covariance_error,trace_invariance_error,conjugacy_error
u1_pure,9,6.106226635438362e-16,2.7988076748173026e-16,1.2412670766236366e-16,4.473333549908524e-16,,,
u1_perturbed,9,1.0514006500841653,0.2588602525734725,2.7755575615628914e-16,4.742874840267547e-16,3.398685888401024e-16,,3.1401849173675503e-16
su2_pure,9,0.0,0.0,4.638200799901713e-16,1.0030616402429032e-15,,,
su2_perturbed,9,0.1930735190422933,0.0535825709582832,5.872083807459067e-16,1.0030616402429032e-15,6.428991059903002e-16,9.036560719766055e-16,8.666332819114694e-16
